type,generacion_total_esp,date,Month,Year,ccaa,percentage,gen
Solar fotovoltaica,12771.571,2018-01-01,1,2018,4,0.1972007782448733,2518.563740609655
Solar fotovoltaica,12771.571,2018-01-01,1,2018,5,0.0379036404650527,484.0890353578936
Solar fotovoltaica,12771.571,2018-01-01,1,2018,6,0.0004876935372414,6.228612637119684
Solar fotovoltaica,12771.571,2018-01-01,1,2018,7,0.2075720649680508,2651.0213653560736
Solar fotovoltaica,12771.571,2018-01-01,1,2018,8,0.1111274698041842,1419.2723706544946
Solar fotovoltaica,12771.571,2018-01-01,1,2018,9,0.0602524829615857,769.5188640701821
Solar fotovoltaica,12771.571,2018-01-01,1,2018,10,0.006037255477126,77.10523697125359
Solar fotovoltaica,12771.571,2018-01-01,1,2018,11,0.0001853818968069,2.3676180571839964
Solar fotovoltaica,12771.571,2018-01-01,1,2018,13,0.0142681219220377,182.22633216396093
Solar fotovoltaica,12771.571,2018-01-01,1,2018,14,0.0365222535705653,466.44655455647825
Solar fotovoltaica,12771.571,2018-01-01,1,2018,15,0.0809082007250542,1033.324830042281
Solar fotovoltaica,12771.571,2018-01-01,1,2018,16,0.1265547896644879,1616.3034815900735
Solar fotovoltaica,12771.571,2018-01-01,1,2018,17,0.0037285102320258,47.61893315254398
Solar fotovoltaica,12771.571,2018-01-01,1,2018,20,0.0192121628478968,245.36950187547617
Solar fotovoltaica,12771.571,2018-01-01,1,2018,21,0.0980391936830108,1252.1145229053238
Solar fotovoltaica,9546.451,2018-01-02,1,2018,4,0.1972007782448733,1882.567566676549
Solar fotovoltaica,9546.451,2018-01-02,1,2018,5,0.0379036404650527,361.8452464212428
Solar fotovoltaica,9546.451,2018-01-02,1,2018,6,0.0004876935372414,4.6557424562917
Solar fotovoltaica,9546.451,2018-01-02,1,2018,7,0.2075720649680508,1981.5765471863135
Solar fotovoltaica,9546.451,2018-01-02,1,2018,8,0.1111274698041842,1060.872945239624
Solar fotovoltaica,9546.451,2018-01-02,1,2018,9,0.0602524829615857,575.1973762211128
Solar fotovoltaica,9546.451,2018-01-02,1,2018,10,0.006037255477126,57.63436358686498
Solar fotovoltaica,9546.451,2018-01-02,1,2018,11,0.0001853818968069,1.769739194154127
Solar fotovoltaica,9546.451,2018-01-02,1,2018,13,0.0142681219220377,136.20992679075871
Solar fotovoltaica,9546.451,2018-01-02,1,2018,14,0.0365222535705653,348.65790412097664
Solar fotovoltaica,9546.451,2018-01-02,1,2018,15,0.0809082007250542,772.3861737198943
Solar fotovoltaica,9546.451,2018-01-02,1,2018,16,0.1265547896644879,1208.1490983473402
Solar fotovoltaica,9546.451,2018-01-02,1,2018,17,0.0037285102320258,35.59404023303293
Solar fotovoltaica,9546.451,2018-01-02,1,2018,20,0.0192121628478968,183.40797123146723
Solar fotovoltaica,9546.451,2018-01-02,1,2018,21,0.0980391936830108,935.926358574372
Solar fotovoltaica,8969.036,2018-01-03,1,2018,4,0.1972007782448733,1768.7008793062855
Solar fotovoltaica,8969.036,2018-01-03,1,2018,5,0.0379036404650527,339.9591158621144
Solar fotovoltaica,8969.036,2018-01-03,1,2018,6,0.0004876935372414,4.374140892485458
Solar fotovoltaica,8969.036,2018-01-03,1,2018,7,0.2075720649680508,1861.7213232927866
Solar fotovoltaica,8969.036,2018-01-03,1,2018,8,0.1111274698041842,996.706277262641
Solar fotovoltaica,8969.036,2018-01-03,1,2018,9,0.0602524829615857,540.4066887718487
Solar fotovoltaica,8969.036,2018-01-03,1,2018,10,0.006037255477126,54.148361715540275
Solar fotovoltaica,8969.036,2018-01-03,1,2018,11,0.0001853818968069,1.662696906209371
Solar fotovoltaica,8969.036,2018-01-03,1,2018,13,0.0142681219220377,127.97129917114532
Solar fotovoltaica,8969.036,2018-01-03,1,2018,14,0.0365222535705653,327.5694070755287
Solar fotovoltaica,8969.036,2018-01-03,1,2018,15,0.0809082007250542,725.6685649982372
Solar fotovoltaica,8969.036,2018-01-03,1,2018,16,0.1265547896644879,1135.07446447322
Solar fotovoltaica,8969.036,2018-01-03,1,2018,17,0.0037285102320258,33.44114249740775
Solar fotovoltaica,8969.036,2018-01-03,1,2018,20,0.0192121628478968,172.3145802206489
Solar fotovoltaica,8969.036,2018-01-03,1,2018,21,0.0980391936830108,879.3170575538965
Solar fotovoltaica,8267.151,2018-01-04,1,2018,4,0.1972007782448733,1630.2886110678826
Solar fotovoltaica,8267.151,2018-01-04,1,2018,5,0.0379036404650527,313.3551191743009
Solar fotovoltaica,8267.151,2018-01-04,1,2018,6,0.0004876935372414,4.031836114098777
Solar fotovoltaica,8267.151,2018-01-04,1,2018,7,0.2075720649680508,1716.029604472686
Solar fotovoltaica,8267.151,2018-01-04,1,2018,8,0.1111274698041842,918.7075731191312
Solar fotovoltaica,8267.151,2018-01-04,1,2018,9,0.0602524829615857,498.1163747683562
Solar fotovoltaica,8267.151,2018-01-04,1,2018,10,0.006037255477126,49.91090265497769
Solar fotovoltaica,8267.151,2018-01-04,1,2018,11,0.0001853818968069,1.53258013356906
Solar fotovoltaica,8267.151,2018-01-04,1,2018,13,0.0142681219220377,117.95671841589589
