type,generacion_total_esp,date,Month,Year,ccaa,percentage,gen
Solar termica,3936.348,2018-01-01,1,2018,4,0.4340353114327046,1708.5140300875037
Solar termica,3936.348,2018-01-01,1,2018,7,0.1516484499002392,596.9410724679068
Solar termica,3936.348,2018-01-01,1,2018,9,0.0105424752377699,41.49885131724507
Solar termica,3936.348,2018-01-01,1,2018,15,0.021657863909622,85.25288928491274
Solar termica,3936.348,2018-01-01,1,2018,16,0.3684875041937697,1450.495050158137
Solar termica,3936.348,2018-01-01,1,2018,21,0.0136283953258944,53.64610668429377
Solar termica,2129.105,2018-01-02,1,2018,4,0.4340353114327046,924.1067517479285
Solar termica,2129.105,2018-01-02,1,2018,7,0.1516484499002392,322.8754729248488
Solar termica,2129.105,2018-01-02,1,2018,9,0.0105424752377699,22.446036741112085
Solar termica,2129.105,2018-01-02,1,2018,15,0.021657863909622,46.111866339295744
Solar termica,2129.105,2018-01-02,1,2018,16,0.3684875041937697,784.548587616476
Solar termica,2129.105,2018-01-02,1,2018,21,0.0136283953258944,29.016284630338397
Solar termica,1262.51,2018-01-03,1,2018,4,0.4340353114327046,547.9739210369039
Solar termica,1262.51,2018-01-03,1,2018,7,0.1516484499002392,191.457684483551
Solar termica,1262.51,2018-01-03,1,2018,9,0.0105424752377699,13.309980412436877
Solar termica,1262.51,2018-01-03,1,2018,15,0.021657863909622,27.34326976453687
Solar termica,1262.51,2018-01-03,1,2018,16,0.3684875041937697,465.21915891967615
Solar termica,1262.51,2018-01-03,1,2018,21,0.0136283953258944,17.205985382894937
Solar termica,957.034,2018-01-04,1,2018,4,0.4340353114327046,415.38655024168696
Solar termica,957.034,2018-01-04,1,2018,7,0.1516484499002392,145.13272260182552
Solar termica,957.034,2018-01-04,1,2018,9,0.0105424752377699,10.089507246703878
Solar termica,957.034,2018-01-04,1,2018,15,0.021657863909622,20.72731212888118
Solar termica,957.034,2018-01-04,1,2018,16,0.3684875041937697,352.6550700885802
Solar termica,957.034,2018-01-04,1,2018,21,0.0136283953258944,13.04283769232202
Solar termica,1660.868,2018-01-05,1,2018,4,0.4340353114327046,720.8753596286132
Solar termica,1660.868,2018-01-05,1,2018,7,0.1516484499002392,251.86805768891048
Solar termica,1660.868,2018-01-05,1,2018,9,0.0105424752377699,17.509659763204418
Solar termica,1660.868,2018-01-05,1,2018,15,0.021657863909622,35.97085311584607
Solar termica,1660.868,2018-01-05,1,2018,16,0.3684875041937697,612.0091041152979
Solar termica,1660.868,2018-01-05,1,2018,21,0.0136283953258944,22.63496568812758
Solar termica,654.99,2018-01-06,1,2018,4,0.4340353114327046,284.2887886353072
Solar termica,654.99,2018-01-06,1,2018,7,0.1516484499002392,99.32821820015768
Solar termica,654.99,2018-01-06,1,2018,9,0.0105424752377699,6.905215855986907
Solar termica,654.99,2018-01-06,1,2018,15,0.021657863909622,14.185684282163313
Solar termica,654.99,2018-01-06,1,2018,16,0.3684875041937697,241.35563037187723
Solar termica,654.99,2018-01-06,1,2018,21,0.0136283953258944,8.926462654507572
Solar termica,2909.017,2018-01-07,1,2018,4,0.4340353114327046,1262.616099558032
Solar termica,2909.017,2018-01-07,1,2018,7,0.1516484499002392,441.14791878344414
Solar termica,2909.017,2018-01-07,1,2018,9,0.0105424752377699,30.66823968875168
Solar termica,2909.017,2018-01-07,1,2018,15,0.021657863909622,63.00309429677685
Solar termica,2909.017,2018-01-07,1,2018,16,0.3684875041937697,1071.9364139872473
Solar termica,2909.017,2018-01-07,1,2018,21,0.0136283953258944,39.64523368574735
Solar termica,278.822,2018-01-08,1,2018,4,0.4340353114327046,121.01859360428955
Solar termica,278.822,2018-01-08,1,2018,7,0.1516484499002392,42.2829240980845
Solar termica,278.822,2018-01-08,1,2018,9,0.0105424752377699,2.939474030745479
Solar termica,278.822,2018-01-08,1,2018,15,0.021657863909622,6.038688931008625
Solar termica,278.822,2018-01-08,1,2018,16,0.3684875041937697,102.74242289431525
Solar termica,278.822,2018-01-08,1,2018,21,0.0136283953258944,3.799896441556528
Solar termica,916.259,2018-01-09,1,2018,4,0.4340353114327046,397.6887604180185
Solar termica,916.259,2018-01-09,1,2018,7,0.1516484499002392,138.94925705714329
Solar termica,916.259,2018-01-09,1,2018,9,0.0105424752377699,9.65963781888381
Solar termica,916.259,2018-01-09,1,2018,15,0.021657863909622,19.844212727966344
Solar termica,916.259,2018-01-09,1,2018,16,0.3684875041937697,337.6299921050792
Solar termica,916.259,2018-01-09,1,2018,21,0.0136283953258944,12.487139872908678
Solar termica,2436.885,2018-01-10,1,2018,4,0.4340353114327046,1057.6941399006864
Solar termica,2436.885,2018-01-10,1,2018,7,0.1516484499002392,369.54983283514446
Solar termica,2436.885,2018-01-10,1,2018,9,0.0105424752377699,25.690799769792907
Solar termica,2436.885,2018-01-10,1,2018,15,0.021657863909622,52.77772369339921
Solar termica,2436.885,2018-01-10,1,2018,16,0.3684875041937697,897.9616716572345
Solar termica,2436.885,2018-01-10,1,2018,21,0.0136283953258944,33.21083214374218
Solar termica,2951.302,2018-01-11,1,2018,4,0.4340353114327046,1280.969282701964
Solar termica,2951.302,2018-01-11,1,2018,7,0.1516484499002392,447.5603734874758
Solar termica,2951.302,2018-01-11,1,2018,9,0.0105424752377699,31.114028254180784
Solar termica,2951.302,2018-01-11,1,2018,15,0.021657863909622,63.91889707219523
Solar termica,2951.302,2018-01-11,1,2018,16,0.3684875041937697,1087.5179081020808
Solar termica,2951.302,2018-01-11,1,2018,21,0.0136283953258944,40.22151038210279
Solar termica,327.779,2018-01-12,1,2018,4,0.4340353114327046,142.26766034610048
Solar termica,327.779,2018-01-12,1,2018,7,0.1516484499002392,49.7071772598505
Solar termica,327.779,2018-01-12,1,2018,9,0.0105424752377699,3.45560199096098
Solar termica,327.779,2018-01-12,1,2018,15,0.021657863909622,7.098992974431989
Solar termica,327.779,2018-01-12,1,2018,16,0.3684875041937697,120.78246563712963
Solar termica,327.779,2018-01-12,1,2018,21,0.0136283953258944,4.46710179152634
Solar termica,1008.986,2018-01-13,1,2018,4,0.4340353114327046,437.93555274123884
Solar termica,1008.986,2018-01-13,1,2018,7,0.1516484499002392,153.01116287104276
Solar termica,1008.986,2018-01-13,1,2018,9,0.0105424752377699,10.6372099202565
Solar termica,1008.986,2018-01-13,1,2018,15,0.021657863909622,21.852481474713862
Solar termica,1008.986,2018-01-13,1,2018,16,0.3684875041937697,371.7987329064549
Solar termica,1008.986,2018-01-13,1,2018,21,0.0136283953258944,13.750860086292887
Solar termica,7661.629,2018-01-14,1,2018,4,0.4340353114327046,3325.417529096841
Solar termica,7661.629,2018-01-14,1,2018,7,0.1516484499002392,1161.8741615607198
Solar termica,7661.629,2018-01-14,1,2018,9,0.0105424752377699,80.77253401347976
Solar termica,7661.629,2018-01-14,1,2018,15,0.021657863909622,165.9345182080133
Solar termica,7661.629,2018-01-14,1,2018,16,0.3684875041937697,2823.2145482686074
Solar termica,7661.629,2018-01-14,1,2018,21,0.0136283953258944,104.41570885233698
Solar termica,6242.318,2018-01-15,1,2018,4,0.4340353114327046,2709.3864371919776
Solar termica,6242.318,2018-01-15,1,2018,7,0.1516484499002392,946.6378484843615
Solar termica,6242.318,2018-01-15,1,2018,9,0.0105424752377699,65.80948294128532
Solar termica,6242.318,2018-01-15,1,2018,15,0.021657863909622,135.19527372458379
Solar termica,6242.318,2018-01-15,1,2018,16,0.3684875041937697,2300.216180203844
Solar termica,6242.318,2018-01-15,1,2018,21,0.0136283953258944,85.07277745394649
Solar termica,6206.157,2018-01-16,1,2018,4,0.4340353114327046,2693.6912862952595
Solar termica,6206.157,2018-01-16,1,2018,7,0.1516484499002392,941.1540888875189
Solar termica,6206.157,2018-01-16,1,2018,9,0.0105424752377699,65.42825649421233
Solar termica,6206.157,2018-01-16,1,2018,15,0.021657863909622,134.41210370774795
Solar termica,6206.157,2018-01-16,1,2018,16,0.3684875041937697,2286.8913035646933
Solar termica,6206.157,2018-01-16,1,2018,21,0.0136283953258944,84.57996105056681
Solar termica,5931.246,2018-01-17,1,2018,4,0.4340353114327046,2574.3702047939832
Solar termica,5931.246,2018-01-17,1,2018,7,0.1516484499002392,899.4642618769942
Solar termica,5931.246,2018-01-17,1,2018,9,0.0105424752377699,62.53001408412177
Solar termica,5931.246,2018-01-17,1,2018,15,0.021657863909622,128.45811868248984
Solar termica,5931.246,2018-01-17,1,2018,16,0.3684875041937697,2185.59003529928
Solar termica,5931.246,2018-01-17,1,2018,21,0.0136283953258944,80.83336526312985
Solar termica,5756.859,2018-01-18,1,2018,4,0.4340353114327046,2498.6800889391684
Solar termica,5756.859,2018-01-18,1,2018,7,0.1516484499002392,873.0187436442412
Solar termica,5756.859,2018-01-18,1,2018,9,0.0105424752377699,60.6915434548328
Solar termica,5756.859,2018-01-18,1,2018,15,0.021657863909622,124.6812687688826
Solar termica,5756.859,2018-01-18,1,2018,16,0.3684875041937697,2121.330604905441
Solar termica,5756.859,2018-01-18,1,2018,21,0.0136283953258944,78.45675028743311
Solar termica,4900.293,2018-01-19,1,2018,4,0.4340353114327046,2126.900198366502
Solar termica,4900.293,2018-01-19,1,2018,7,0.1516484499002392,743.1218375069928
Solar termica,4900.293,2018-01-19,1,2018,9,0.0105424752377699,51.66121761031717
Solar termica,4900.293,2018-01-19,1,2018,15,0.021657863909622,106.12987891127331
Solar termica,4900.293,2018-01-19,1,2018,16,0.3684875041937697,1805.6967373882
Solar termica,4900.293,2018-01-19,1,2018,21,0.0136283953258944,66.78313021671305
Solar termica,6103.747,2018-01-20,1,2018,4,0.4340353114327046,2649.241730051436
Solar termica,6103.747,2018-01-20,1,2018,7,0.1516484499002392,925.6237711332354
Solar termica,6103.747,2018-01-20,1,2018,9,0.0105424752377699,64.34860160511232
Solar termica,6103.747,2018-01-20,1,2018,15,0.021657863909622,132.19412186476356
Solar termica,6103.747,2018-01-20,1,2018,16,0.3684875041937697,2249.154498260209
Solar termica,6103.747,2018-01-20,1,2018,21,0.0136283953258944,83.18427708524197
Solar termica,5381.319,2018-01-21,1,2018,4,0.4340353114327046,2335.6824680837303
Solar termica,5381.319,2018-01-21,1,2018,7,0.1516484499002392,816.0686847687055
Solar termica,5381.319,2018-01-21,1,2018,9,0.0105424752377699,56.73242230404068
